Country,Total Population Male,Total Population Female,Total Population Both,Life Expectancy Male,Life Expectancy Female,Life Expectancy Both ,Healthy Life Expectancy Male,Healthy Life Expectancy Female,Healthy Life Expectancy Both ,Maternal Mortality Ratio,Prop Births Skilled,Mortality Rate < 5,Neonatal Mortality Rate,New HIV,TB Incidence ,Malaria Incidence,HepB age < 5,NTD Reported,Prob Death CVD+ ,Suicide Rate,Total Alcohol > 14,Road Mortality,Family Planning,Ad Birth Rate 15-19,Ad Birth Rate 10-14,Univ Health Care,Health care 10 > expend,Health care 25 > expend,Air Pollut Mortality,WASH Mortality,Poison Mortality,Tobacco Use < 15,DPT3 Immuno ,MCV2 immuno,PCV3 immuno,HPV immuno,Research Health ,Medicine Affordable ,Doctor Density,Density Nursing,Density Dentist,Density Pharmacist,Health Reg Score,MRSA,Ecoli,Gov Expend Health,Stunting < 5,Wasting < 5,Overweight < 5,Anaemia Women 15-49,Violence Girls Partner 15-49,Violence Girls Partner Lifetime,Water Safe,Sanitation Service,Hand Washing,Water Treated,Dev Expend Mil,Clean Fuel Tech,Pollution Urban,Homicide Mortality,Polio Cases,Hypertension 30-79,Obesity 5-19,Obesity Adults
Afghanistan,19 976,18 952,38 928,63.3,63.2,63.2,54.7,53.2,53.9,638,62,58,35,0.04,193,8.4,0.39,14 367 281,35.3,4.1,<0.1,15.9,42.2,62.0,0.2,37,23.8,5.6,211.1,13.9,1.0,23.3,70,43,68,-,6.15,-,2.5,4.5,0.7,0.3,41,-,-,3.9,35.1,5.1,3.9,42.6,35,46,28,-,38,-,140.29,33,63.6,8.5,1,40.2,3.1,5.5
Albania,1 465,1 413,2 878,76.3,79.9,78.0,68.0,70.3,69.1,15,100,10,8,0.03,15,-,0.29,  6,11.4,4.3,6.8,11.7,6.3,14.2,0.3,62,16.7,5.0,68.0,0.2,0.3,22.4,98,94,92,-,2.03,-,18.8,60.5,10.3,10.8,-,-,-,-,9.6,1.6,14.6,24.8,6,13,71,48,-,13,48.53,81,19.3,3.6,0,41.8,7.6,21.7
Algeria,22 154,21 697,43 851,76.2,78.1,77.1,66.7,66.1,66.4,112,99,23,16,0.04,59,-,0.08, 11 599,13.9,2.5,0.6,20.9,77.2,12.0,0.0,75,-,-,49.7,1.9,0.7,21.0,-,-,-,-,1.26,-,17.2,15.5,3.7,4.5,77,-,-,10.7,9.3,2.7,12.9,33.3,-,-,72,18,85,76,3.01,100,34.1,1.7,0,36.2,13.5,27.4
Andorra,-,-, 77,-,-,-,-,-,-,-,100,3,1,-,3,-,0.02,  0,-,-,12.3,-,-,2.7,0.0,77,-,-,-,-,-,31.8,99,93,96,77,-,-,33.3,40.1,8.2,10.1,-,-,-,16.5,-,-,-,12.1,-,-,91,100,-,100,-,100,9.5,-,-,31.0,12.8,25.6
Angola,16 261,16 605,32 866,60.7,65.5,63.1,53.6,56.2,54.8,241,50,71,27,0.69,350,251.6,4.57,7 698 802,22.2,6.1,7.8,26.1,29.8,163.0,10.7,39,35.5,12.5,118.5,48.8,2.0,-,51,41,47,-,1.06,-,2.1,4.1,0.5,0.7,40,-,-,5.4,37.7,4.9,3.5,44.5,25,38,-,-,27,-,4.61,50,40.3,9.2,0,38.7,2.4,8.2
Antigua and Barbuda, 47, 51, 98,74.9,78.0,76.5,66.2,67.7,67.0,42,99,6,3,-,2,-,0.19, 1 207,17.5,0.4,9.4,0.0,-,30.4,0.3,72,-,-,29.9,0.1,0.7,-,96,78,-,-,0.41,-,27.7,90.8,0.4,-,52,-,-,11.3,-,-,-,17.2,-,-,-,-,-,-,<0.01,100,21.1,2.4,0,42.6,11.5,18.9
Argentina,22 049,23 147,45 196,73.5,79.5,76.6,65.4,68.8,67.1,39,99,9,5,0.13,31,-,0.01, 161 306,15.7,8.4,9.5,14.1,-,40.9,1.1,73,9.6,2.5,26.6,0.4,0.4,24.5,74,71,75,46,0.04,-,40.6,26.0,15.3,-,65,38,21,15.5,7.8,1.6,12.9,11.9,5,27,-,-,-,36,32.58,100,12.3,6.1,0,47.5,16.9,28.3
Armenia,1 394,1 569,2 963,72.5,79.2,76.0,64.9,69.1,67.1,26,100,11,6,0.11,23,-,0.06,  70,19.9,3.3,4.7,20,40.2,18.9,0.0,69,21.0,7.1,54.8,0.2,0.7,25.5,91,94,92,8,3.21,-,44.0,49.5,5.6,0.5,84,-,-,5.7,9.1,4.4,10.8,17.3,5,10,87,69,95,40,15.27,98,45.5,3.8,0,47.3,4.8,20.2
Australia,12 699,12 801,25 500,81.3,84.8,83.0,70.2,71.7,70.9,6,99,4,2,0.03,7,-,0.13, 20 401,8.6,12.5,10.4,4.9,-,8.7,0.1,87,2.5,0.4,8.4,<0.1,0.1,13.6,95,94,97,66,-,-,41.3,131.4,6.2,9.0,88,18,13,16.2,2.1,-,18.5,8.5,3,23,-,74,-,76,-,100,7.3,1.0,0,29.3,12.4,29.0
Austria,4 440,4 567,9 006,79.4,83.8,81.6,69.9,71.9,70.9,5,98,4,2,-,5,-,0.16,  22,10.4,14.6,11.9,4.9,-,5.2,0.0,82,-,-,15.3,0.1,0.2,26.4,85,84,-,-,-,-,52.9,105.6,5.7,7.2,71,5,9,15.7,-,-,-,13.0,4,15,99,100,-,99,-,100,12.9,0.5,0,33.8,8.6,20.1
